Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,54.7226650916878,51.3230619495505,48.0904509147079,45.2617370314475,42.6441925473346,39.9725905636848,37.3989525323645,34.8861376971012,32.4323341570774,30.308237863712,28.4561756235853,27.0193308538168,25.8849818376257,25.1442027750451,24.8929702951715,24.8978788569762,25.2747262521443,25.4160938647378,26.0176423612283,26.6939274881147,27.4719647245441,26.9725200543658,25.5715312906775,23.7872672369349,22.147424985263,23.3742997595489,26.1682296618603,25.0974798436058,25.9676596698777,27.2979826977786,29.9516252768675,32.9797649818188,36.0410680622948,38.9157523579698,40.5532076452472,41.9940727956827,42.8638180220113,39.7235838972942,35.8655649942206,32.8578803454302,29.9775836521632,28.1398342390887,27.3293724214804,27.0693697828145,27.389267069825,28.5948271429243,29.8275732574443,31.4794712563181,32.6685223741206,34.0217955389825,33.3896971976179,33.2748231222371,33.400685589705,33.3841791473889,33.3172909152611,33.630976450272,34.2671425466499,35.3255884491475,36.7166554068181,38.7357722031561,40.9381191233686,43.5180571044654,46.241798463998,47.1546542121209
caret,40.7285722254428,40.0661364239948,38.734173974977,37.2829823232731,35.7817850716324,34.1012728982166,32.5073650703429,30.9614953433522,29.3690650757364,27.8269473509492,26.3674174882256,24.9014954069362,23.4978209569108,22.2515511752792,21.0763895223254,19.8796811748083,18.6634971928361,17.8353452606706,17.1387738111304,16.4741351389958,16.1419455342838,16.0021870129631,16.0144709615422,16.2284584227969,16.4743282161115,16.9493948748502,17.6198810933445,18.3970089170782,19.1740278457164,20.050525282277,20.8514995839012,21.4676557561852,21.9483793968803,21.676581952744,21.3565103631216,20.6697571679076,20.200117771494,19.7095519814428,19.2440094818028,18.9266477134442,18.4533385458946,18.2587536176315,18.0752851697276,18.0025137038567,18.1621593847661,18.4668932244395,18.987421469201,19.6688032078888,20.4469728384554,21.3612041222402,22.5032951555454,23.402649167509,24.4989164725131,25.8533248623702,27.0730288794195,28.4708688060796,29.8977646181719,31.5098628105644,32.9453560568679,34.5796490702672,36.2376468687665,38.1940995171311,40.0244317570057,40.9309553738135
check,47.6555870371946,45.9495680838425,44.0790042178778,42.3722641367336,40.9396031536721,39.6683327933481,38.7872585424921,38.2578602284155,38.1276743747296,38.2145271544553,38.3023126815087,38.4746653399789,38.752521664872,38.7826192695275,38.6645648961161,38.4179594918959,38.1791447900419,37.7650650910998,36.982879381335,35.8705034858035,34.2184299709783,32.6365177205729,31.0944024989003,29.2185547512404,27.1207720916524,24.9491220365238,22.6612108392283,20.1600149901543,17.9911183595778,16.0495757185792,14.4249852423056,12.4594299577938,10.9405745342184,10.1197241462573,9.89140714528704,10.097477893027,10.7643101588484,11.6674949864352,12.7215696758575,14.0015283434246,15.4201268071057,16.9996527813671,18.6949070309252,20.4606909545752,22.2906690055852,24.1948727635203,26.1262050138855,28.0387753138802,29.9755395129889,31.9912010213472,33.9448106136652,35.9282590075023,37.8939454396707,39.9015333878325,42.0286628922875,44.1000199047312,46.2577917811354,48.3488439183851,50.4256041868153,52.5138285781423,54.5885799645063,56.4783623920639,57.9704572478899,58.0100522606291
circle,25.8651986837533,26.6567366869849,27.4185092806943,27.7356340361758,28.0117714788275,28.3079936303425,28.3100099783472,28.3408132297194,28.3917847847712,28.5081905842462,28.6094777512266,28.6931298347047,28.7776696879982,28.7467872648633,28.6942849697321,28.6239738924846,28.528743734535,28.3985398841304,28.2796937160629,27.900147271357,27.5569668951575,27.0809912831577,26.6041616417468,26.186600762868,25.8329299917943,25.6714689306983,25.4829465016736,25.3087306687716,25.3512812117467,25.477601444521,25.6943791271834,26.0108142163142,26.3908349947596,26.8655443634979,27.4207249138905,27.8992435061389,28.3357724165089,28.8038749397514,29.0653612174793,29.5628419813752,29.688995348874,29.8835375755261,29.792227110967,29.6275135877575,29.427714144176,29.1889499925334,28.8692811953587,28.2441894028676,27.5282472436895,26.6248884534254,25.8628278615346,25.186415756591,24.3760501737722,23.7049719492267,23.4085172455378,23.1977359429303,23.3528263711938,23.7742492575095,24.082500906728,24.5012443836364,25.2127453195517,25.641087827896,26.1403200997903,26.8140291722889
delete,24.4839622914731,22.8361141239605,20.8118261282127,18.8510707784064,17.2461350373308,15.6815314097539,14.219064914459,13.1202120801184,12.1440114021559,11.5069905648591,11.1367440101516,11.0214833390817,11.2539818399321,11.7152674176941,12.7670253905622,14.080405880567,15.2626617759176,16.6141466960277,18.2307779518977,19.5820816739082,20.5728385432898,21.1725485681397,21.6332982042408,22.7513600395215,22.8546320282532,22.3712681118166,21.952367922613,21.6990394145829,21.1862343874122,20.7298646875214,20.4441179138086,20.3798619771297,20.8039100499456,21.1837549940265,22.0511656822941,22.8431185036875,23.4553553932235,23.4690705763758,22.2647559428785,20.8404248238681,19.5992067895672,18.121883743411,16.7982821248718,15.4291641757054,14.1038869943822,12.908340828239,11.9693378466659,11.3339895351186,10.9619617493617,10.9290583525878,11.2153992227921,11.8708930021899,12.8933326973517,14.0858421660318,15.2848482550017,16.676365831334,18.1083976366344,19.7527234594597,21.5513464562125,23.0350393759828,24.7315873640005,26.5372931179542,27.5326213398407,28.0724212869655
left curly brace,26.2850074494185,26.0225101422499,25.5213418783043,25.0359928894101,24.5783614149078,23.9658688234129,23.4282842713354,22.6267045914288,21.8072851096923,21.0761508824416,20.7133376281695,20.2204874836568,19.8264954957563,18.9031944533695,18.273570443056,17.346972047593,15.9164310097235,14.7615931012904,13.7202392241154,13.0096945193659,12.1471214447179,11.5288290443229,11.1520346937937,10.9525795295563,10.7288072508164,10.3838507477382,10.4625599019431,10.8362921636094,11.4482305890999,11.9984674024449,12.1002815879522,12.4772257075897,13.552575382335,14.4692800064507,12.7592648374491,11.4710212528469,11.295805608588,12.3221226773448,13.2992746725589,13.8101710089394,13.6856024309983,13.6822872537878,13.3763744157408,13.382719631513,13.4336055523107,13.674966614816,14.2992503757745,15.2739049571935,16.4492136769878,17.7525117247427,19.2167796791816,20.6293496679153,21.7563503164206,22.9282290590323,23.7500430785353,24.6789932023144,25.5264718473771,26.3287496815986,27.0475886887219,27.7965352975887,28.5508466597046,29.3813367032485,30.2271740357452,30.6619718442389
left square bracket,24.8324707271294,25.1901259433912,24.8301246367426,24.4744515830421,24.1271948663205,23.7627773526636,23.3955256311682,23.002005676522,22.7637475041233,22.5117646839073,22.3706369832767,22.272744779286,22.2648972164735,22.6152607502207,22.8715458935267,22.9786116611478,22.1616798580031,20.8282956402139,19.523363223905,18.2720584845859,16.8931993511199,15.6245484714421,14.425681404084,13.2421989348418,12.1840608749428,11.1559598198971,10.2413878832787,9.42546569498992,8.87842930697356,8.72523273448766,8.80722681329886,9.26497467520102,9.85484895665363,10.6347873626456,11.5742590485844,12.467897760735,13.4892534144164,14.735300215106,15.9638003938641,17.2634346551889,18.5607818016462,19.7168723898196,20.7061284264808,21.526770571279,21.7328397604203,21.6236937606719,21.3368567855622,20.8577218821177,20.4046179634974,19.8495081874635,19.7713922538783,19.6912593238555,19.9718059826795,20.6580706720443,21.2059199503983,22.1385580075345,23.0113556862732,23.85492535853,24.9657261377961,25.8824071318986,26.9000752899993,28.1396461421835,29.339560549049,29.7217223144999
pig tail,38.2583626941854,36.2188545132738,33.8826990419678,31.6877086212433,29.4941650435685,27.613125508139,25.5124208066212,23.6321477203629,21.9260998956181,20.4316739344368,19.151095859834,18.0056746272979,17.3571563141895,16.5977140930089,16.4848364758525,16.3936070175127,16.5890595793049,17.1718552608203,17.8295246832437,18.8717767236529,20.1425188249654,21.5938135157985,23.2461393460147,25.0738703975482,27.0529074229824,29.0414439401482,30.841912260761,31.1130135293668,31.1597434514901,30.8952525406685,30.5990526076565,30.0542473039485,29.2762654141202,28.5628437384845,27.887046097053,27.1792913139385,26.4906192607526,25.768734935361,25.1598845544526,24.6348673315407,24.2061958787377,23.9376628281326,23.9793088824396,23.6659682265454,23.7807568641064,23.9924488278952,23.8275038408804,23.9104814272057,23.9745926959432,23.8950132052098,24.0323437871171,24.4047383256357,24.8349701024616,25.4642920858513,26.3142731803365,27.2801562462386,28.5114590129755,29.8400524570878,31.2834853572456,32.9435878606857,34.5018799104756,36.5081094289068,38.0611875189413,38.6036931023325
rectangle,26.5804392815832,26.3385214276405,26.0088412425297,25.6216754206131,25.2356708974168,25.0908799213512,25.1207338630593,25.4136800152703,26.1689062718429,26.7054956682815,26.665790824857,25.3915169033148,22.4531494280226,20.2520030250869,19.93671601652,19.3526513654954,18.4927961410797,17.7622756494886,17.1452649429366,16.873401691681,16.806981757645,17.144336238299,17.6453718689157,18.4135904965377,19.1025436468793,20.0103743339699,21.0731154427008,22.3238059622448,23.6838656305189,25.0811186688779,26.3032044479625,26.6632313481907,26.6892412216111,26.6050697873471,26.2336620371617,25.8628994288866,25.720951837311,25.651288249688,25.7040467201336,25.8135419556123,26.0377575864368,25.5352306855938,24.6405802318696,23.2362769684457,21.8183835433703,21.6639277012813,22.0418639355073,21.6707316689075,20.9917731113851,19.8492481853932,18.8057411343516,18.1428840398013,18.2570396534904,18.3743022097371,18.8311783324689,19.4888730901759,20.2954445856903,21.0386616269174,22.0172919712216,22.9995531138312,24.1966674397707,25.37883661881,26.8239270111908,29.1824092622408
right curly brace,30.7829729702484,30.7969477609589,29.980264335889,29.3220111585588,28.657541594155,28.2769109118062,27.5475132580571,26.7127212666879,25.8687896756218,24.6930735109961,23.124817634306,21.5046302608553,19.9464878894319,18.91493573619,18.7570972662912,18.3380756693223,18.0670004444034,17.7826852390242,17.5838395605626,17.7573175562833,17.6726783971743,17.3666317329081,16.4251712026014,15.5622499822844,14.4367621960656,13.6177932103091,13.1258958571539,13.0208103551931,13.1546254580064,12.9869636276105,12.3061459003499,11.1662098245077,10.6887528675808,11.5655335593058,12.998443361178,14.6572751062161,15.3339593056296,15.8806581572071,16.6978394978674,17.4239436692184,18.1338891506471,19.2948760254447,19.9913412107437,19.9157850824817,18.7120766586099,18.1919714682742,17.9911485354794,18.602463508632,19.7739408471782,21.4086163558445,23.4749398115018,25.2541041202191,26.9398636791045,28.2016835911652,29.5063079369107,30.5637234314517,31.3955267208906,32.1293959099312,33.1489336954232,33.7122189518045,34.2823410129652,34.6500856488524,34.900144173814,35.3361103591479
