User,Gesture Type,Random Iteration,Number Of Training Examples,Total Size Of Training Set,Training Set Contents,Candidate,Recognizer Result Gesture Type,Result,Recognizer Result Score,Recognizer Result Best Match,Recognizer Result N Best Sorted
user_0,arrow,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['arrow04'],caret,0,0.7542928733692715,caret04,"[['caret04', 0.7542928733692715], ['arrow02', 0.7153064496088237], ['delete08', 0.6498638945903437], ['x08', 0.629851758943825], ['pig tail09', 0.6248211155208288], ['right square bracket01', 0.5335718411069071], ['right curly brace07', 0.5209787007195765], ['triangle05', 0.47553428832515077], ['v01', 0.47247855572162356], ['star05', 0.46117873469332493], ['rectangle07', 0.45153213326712793], ['left curly brace01', 0.4405563962911968], ['circle08', 0.4153651342919684], ['check05', 0.4141771033636281], ['zig-zag09', 0.4036609184130676], ['left square bracket04', 0.376517104922127]]"
user_0,caret,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['caret06'],caret,1,0.9093380861944768,caret04,"[['caret04', 0.9093380861944768], ['right square bracket01', 0.7483316325124565], ['right curly brace07', 0.7226861830946052], ['pig tail09', 0.6749066864654557], ['arrow02', 0.650059155438979], ['delete08', 0.6092931595472146], ['zig-zag09', 0.5353833784133926], ['x08', 0.4908486310586394], ['left curly brace01', 0.46266642397434365], ['check05', 0.46196048841146886], ['left square bracket04', 0.4405319427669714], ['star05', 0.37152482133325726], ['v01', 0.34720691411315996], ['triangle05', 0.2885451367162485], ['rectangle07', 0.28395774004225827], ['circle08', 0.27646663310455377]]"
user_0,check,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['check08'],check,1,0.9425867329098586,check05,"[['check05', 0.9425867329098586], ['left square bracket04', 0.909115503030351], ['left curly brace01', 0.7467395581759453], ['v01', 0.7267058868708668], ['right curly brace07', 0.6466851651650114], ['right square bracket01', 0.6303408538781294], ['zig-zag09', 0.6254527107477874], ['rectangle07', 0.5865343028494383], ['circle08', 0.5860745296412766], ['triangle05', 0.5729877065795359], ['delete08', 0.4789181778632894], ['caret04', 0.47227070765711776], ['pig tail09', 0.4612687740212946], ['x08', 0.4490207324577654], ['arrow02', 0.38444075795346455], ['star05', 0.369480289830842]]"
user_0,circle,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['circle10'],circle,1,0.9234379107325801,circle08,"[['circle08', 0.9234379107325801], ['rectangle07', 0.7641855769694461], ['triangle05', 0.7539514758186027], ['v01', 0.67322637186835], ['check05', 0.6478036300750334], ['left square bracket04', 0.6244289549545161], ['x08', 0.6149645998547686], ['left curly brace01', 0.5346489791478484], ['zig-zag09', 0.46604886904968146], ['delete08', 0.4258712744399603], ['pig tail09', 0.42153752655562204], ['right square bracket01', 0.38656294162460103], ['arrow02', 0.3435017032923787], ['right curly brace07', 0.3387008507462781], ['caret04', 0.3118883815400444], ['star05', 0.29037079188717163]]"
user_0,delete,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['delete10'],delete,1,0.8923521649899991,delete08,"[['delete08', 0.8923521649899991], ['caret04', 0.621033912272245], ['arrow02', 0.5642620874736194], ['v01', 0.5166161649711077], ['x08', 0.48888884356858353], ['left curly brace01', 0.457243756083868], ['rectangle07', 0.4544044598927367], ['triangle05', 0.45209986707762906], ['check05', 0.4483649708922425], ['right square bracket01', 0.445884446947009], ['pig tail09', 0.4386445895897487], ['right curly brace07', 0.4307904151587262], ['star05', 0.4077247742262827], ['zig-zag09', 0.40077627918040293], ['circle08', 0.3939253104048589], ['left square bracket04', 0.39123129083913244]]"
user_0,left curly brace,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['left curly brace05'],left square bracket,0,0.8628709105661121,left square bracket04,"[['left square bracket04', 0.8628709105661121], ['left curly brace01', 0.8587118430733834], ['check05', 0.8375685676569946], ['v01', 0.728124517259582], ['zig-zag09', 0.663250687003299], ['right curly brace07', 0.660295938972062], ['right square bracket01', 0.6370022728633733], ['rectangle07', 0.54315092142022], ['pig tail09', 0.5419114580105229], ['circle08', 0.5180496411346918], ['triangle05', 0.4973476303300002], ['delete08', 0.47469030905388665], ['caret04', 0.4739158448348334], ['arrow02', 0.41698631753779736], ['x08', 0.4124144956373288], ['star05', 0.4099525906513708]]"
user_0,left square bracket,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['left square bracket09'],left square bracket,1,0.9468490726221914,left square bracket04,"[['left square bracket04', 0.9468490726221914], ['check05', 0.8752314115985843], ['left curly brace01', 0.76263313066263], ['v01', 0.7061026822773605], ['right curly brace07', 0.6355139547331359], ['zig-zag09', 0.6312337077481445], ['right square bracket01', 0.6278868283665324], ['rectangle07', 0.5855252209603867], ['triangle05', 0.5536922589537432], ['circle08', 0.552465935096722], ['pig tail09', 0.4452405762433167], ['x08', 0.4147669089252164], ['caret04', 0.4059164882996049], ['delete08', 0.39473426576886994], ['arrow02', 0.3868615938966914], ['star05', 0.3391782049466652]]"
user_0,pig tail,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['pig tail02'],x,0,0.7727898576762516,x08,"[['x08', 0.7727898576762516], ['arrow02', 0.7123668667567686], ['pig tail09', 0.6008423102145615], ['rectangle07', 0.5971853971791605], ['triangle05', 0.5768889719477099], ['caret04', 0.571048082094465], ['circle08', 0.518323704419265], ['v01', 0.47989611955462086], ['right curly brace07', 0.41929367477505386], ['delete08', 0.4157814246169883], ['star05', 0.38481655430573136], ['right square bracket01', 0.3763248251407645], ['check05', 0.35919171235621705], ['zig-zag09', 0.3567100659158964], ['left curly brace01', 0.32678301703927826], ['left square bracket04', 0.3257232361862785]]"
user_0,rectangle,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['rectangle10'],rectangle,1,0.8979394172732197,rectangle07,"[['rectangle07', 0.8979394172732197], ['triangle05', 0.7772106581274053], ['circle08', 0.776568773982718], ['v01', 0.7542841155278537], ['check05', 0.6567557566745992], ['x08', 0.6558801973862525], ['left square bracket04', 0.6532039247439336], ['left curly brace01', 0.568431931865491], ['zig-zag09', 0.5383521127336446], ['arrow02', 0.45695651296299233], ['delete08', 0.44923179492729337], ['right curly brace07', 0.39385012498776417], ['right square bracket01', 0.3850129402033803], ['pig tail09', 0.3585430698085227], ['star05', 0.3536065174978801], ['caret04', 0.30841082642699746]]"
user_0,right curly brace,1,1,16,"['arrow02', 'caret04', 'check05', 'circle08', 'delete08', 'left curly brace01', 'left square bracket04', 'pig tail09', 'rectangle07', 'right curly brace07', 'right square bracket01', 'star05', 'triangle05', 'v01', 'x08', 'zig-zag09']",['right curly brace03'],right square bracket,0,0.806036295706533,right square bracket01,"[['right square bracket01', 0.806036295706533], ['right curly brace07', 0.7920459551633741], ['left square bracket04', 0.7083252360555325], ['check05', 0.6922339434895592], ['zig-zag09', 0.6776390494735929], ['left curly brace01', 0.6506181069293754], ['v01', 0.5394158842046771], ['caret04', 0.5320610330766882], ['pig tail09', 0.4747316528485639], ['rectangle07', 0.46057504288025397], ['arrow02', 0.4497586499314634], ['circle08', 0.4294472003475268], ['star05', 0.3904407779170612], ['triangle05', 0.3854075525842362], ['delete08', 0.35131274471870555], ['x08', 0.303840196229873]]"
