User,Gesture Type,Random Iteration,Number Of Training Examples,Total Size Of Training Set,Training Set Contents,Candidate,Recognizer Result Gesture Type,Result,Recognizer Result Score,Recognizer Result Best Match,Recognizer Result N Best Sorted
10,arrowhead~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['arrowhead~09'],arrowhead~,1,0.2858708611720201,arrowhead~06,"[['arrowhead~06', 0.2858708611720201], ['line~02', 1.3813245273466792], ['pitchfork~09', 2.157323935053684], ['asterisk~07', 2.178775551906565], ['X~05', 2.298866503013489], ['five_point_star~01', 2.6834302869434796], ['P~03', 2.9120723191137396], ['N~05', 2.995151275759889], ['exclamation_point~09', 3.0390773259968022], ['null~09', 3.0745137591671354], ['H~05', 3.096611935304006], ['T~07', 3.3225014189692423], ['six_point_star~02', 3.481900423130205], ['half_note~09', 3.617995516831214], ['D~04', 3.7634972790267676], ['I~03', 4.522905851034029]]"
10,asterisk~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['asterisk~06'],asterisk~,1,0.8022391984694893,asterisk~07,"[['asterisk~07', 0.8022391984694893], ['X~05', 1.5137496712080263], ['pitchfork~09', 1.7940407197923982], ['exclamation_point~09', 2.009146120434923], ['arrowhead~06', 2.224271228047424], ['half_note~09', 2.284203980598975], ['five_point_star~01', 2.4449184500018384], ['T~07', 2.7597674151244647], ['P~03', 2.784409503278756], ['null~09', 3.125193567720366], ['I~03', 3.4101726129344483], ['six_point_star~02', 3.5563850461825255], ['line~02', 3.583959557745267], ['D~04', 3.6555026049584365], ['H~05', 3.8502479796311397], ['N~05', 4.278454897022904]]"
10,D~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['D~09'],D~,1,0.42474984982616004,D~04,"[['D~04', 0.42474984982616004], ['I~03', 2.22094711927131], ['X~05', 2.551517312602485], ['H~05', 2.6149630700883115], ['P~03', 2.9293507353538977], ['asterisk~07', 3.302034595844963], ['N~05', 3.479494041495511], ['null~09', 3.5663601855892173], ['pitchfork~09', 3.601657258527119], ['T~07', 3.839320410572259], ['six_point_star~02', 3.8684636663651535], ['half_note~09', 4.209938462240991], ['arrowhead~06', 4.222412382023244], ['exclamation_point~09', 4.269956664415188], ['five_point_star~01', 4.316437818238255], ['line~02', 4.766526111582807]]"
10,exclamation_point~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['exclamation_point~07'],exclamation_point~,1,0.20319197866806238,exclamation_point~09,"[['exclamation_point~09', 0.20319197866806238], ['half_note~09', 1.0163215329753843], ['X~05', 2.3781342278795803], ['I~03', 2.4281524291492937], ['asterisk~07', 2.6025905135395324], ['pitchfork~09', 3.01015730813408], ['arrowhead~06', 3.078856842941362], ['T~07', 3.149505040347158], ['five_point_star~01', 3.736933517124309], ['P~03', 3.9555441521021844], ['D~04', 4.341673258824305], ['six_point_star~02', 4.61801323844018], ['line~02', 4.9397152631058105], ['null~09', 5.091622242324603], ['N~05', 5.676721439303263], ['H~05', 6.139714298645811]]"
10,five_point_star~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['five_point_star~09'],five_point_star~,1,0.8294367613093783,five_point_star~01,"[['five_point_star~01', 0.8294367613093783], ['six_point_star~02', 2.250679862166195], ['null~09', 2.3007016811745378], ['P~03', 2.6415615882555294], ['X~05', 2.806426325252942], ['asterisk~07', 2.8623505309602155], ['arrowhead~06', 2.961149182597142], ['pitchfork~09', 3.6389481275102007], ['exclamation_point~09', 3.8749438361802646], ['line~02', 4.082070425834898], ['half_note~09', 4.143727383457855], ['H~05', 4.389084569155417], ['D~04', 4.56697410404409], ['T~07', 4.9145473998220925], ['N~05', 5.147152865753237], ['I~03', 5.360570861852337]]"
10,H~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['H~01'],H~,1,1.527974181813418,H~05,"[['H~05', 1.527974181813418], ['P~03', 1.8013746199622274], ['X~05', 2.2525205171977], ['D~04', 2.2791028748796953], ['asterisk~07', 2.4665641040519564], ['N~05', 2.5988805305136213], ['null~09', 2.874088273542814], ['five_point_star~01', 2.9187937224684397], ['line~02', 2.9258341890869044], ['pitchfork~09', 3.0203066474283027], ['arrowhead~06', 3.115951440657652], ['six_point_star~02', 3.6364763410698973], ['exclamation_point~09', 4.687597023407563], ['T~07', 4.919358450390394], ['I~03', 4.950492528238734], ['half_note~09', 5.0820904071804955]]"
10,half_note~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['half_note~06'],half_note~,1,0.4808901415051459,half_note~09,"[['half_note~09', 0.4808901415051459], ['exclamation_point~09', 1.6006997419049827], ['I~03', 2.5262123131586542], ['X~05', 2.849306725061041], ['asterisk~07', 2.990822299589793], ['pitchfork~09', 3.039720585427192], ['arrowhead~06', 3.534069805820823], ['five_point_star~01', 3.689658087937697], ['T~07', 3.966411991141582], ['D~04', 4.237630595199589], ['six_point_star~02', 4.403935970729242], ['null~09', 4.519763201284644], ['P~03', 4.729596275653483], ['line~02', 5.742954269765123], ['H~05', 6.550922389142026], ['N~05', 6.633091246735211]]"
10,I~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['I~08'],I~,1,0.20618352822412211,I~03,"[['I~03', 0.20618352822412211], ['exclamation_point~09', 1.9677501194865936], ['half_note~09', 2.018633391532108], ['D~04', 2.106453201621719], ['X~05', 3.343205402793902], ['T~07', 3.403338836086037], ['asterisk~07', 3.6551231466371252], ['pitchfork~09', 3.815768161127004], ['arrowhead~06', 4.647035887687444], ['P~03', 4.870848223898341], ['five_point_star~01', 5.289587583977613], ['N~05', 5.672434509027535], ['H~05', 5.775414081618045], ['six_point_star~02', 5.904866584209349], ['line~02', 5.958685782447335], ['null~09', 6.403523874081808]]"
10,line~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['line~05'],line~,1,0.14801873688356315,line~02,"[['line~02', 0.14801873688356315], ['arrowhead~06', 1.2282720627406924], ['H~05', 2.4981389839191332], ['N~05', 2.5168273347952077], ['X~05', 3.175772037544131], ['asterisk~07', 3.3269941365404496], ['pitchfork~09', 3.3792499265731952], ['five_point_star~01', 3.828325091115387], ['P~03', 3.8524622543054177], ['null~09', 3.865130285873372], ['D~04', 4.5231099442723925], ['exclamation_point~09', 4.72814032559901], ['T~07', 4.946873261190432], ['six_point_star~02', 5.318766801408837], ['half_note~09', 5.459727959954508], ['I~03', 5.890744210881538]]"
10,N~,1,1,16,"['arrowhead~06', 'asterisk~07', 'D~04', 'exclamation_point~09', 'five_point_star~01', 'H~05', 'half_note~09', 'I~03', 'line~02', 'N~05', 'null~09', 'P~03', 'pitchfork~09', 'six_point_star~02', 'T~07', 'X~05']",['N~06'],N~,1,0.7497719045455259,N~05,"[['N~05', 0.7497719045455259], ['H~05', 1.2410496084902252], ['D~04', 2.5005505222506685], ['line~02', 2.782984982113838], ['P~03', 3.667456482588652], ['X~05', 3.760587865782083], ['arrowhead~06', 3.841820624765199], ['pitchfork~09', 3.999566677920107], ['T~07', 4.029551068412166], ['asterisk~07', 4.0333665090870605], ['five_point_star~01', 4.683803850294303], ['null~09', 4.684035926304356], ['six_point_star~02', 4.808909553810448], ['I~03', 5.161761913084422], ['exclamation_point~09', 5.3070480669524205], ['half_note~09', 6.23423351707498]]"
